C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
173 |V* V439 Per                        |s*r|02 23 11.0652506389 +57 11 57.982874757|12.81 |10.41 | 8.165|     ~| 6.861|M0.5Iab               |  69|   0
174 |V* V403 Per                        |s*r|02 23 24.1095004917 +57 12 43.040134182|13.32 |10.81 | 8.402| 6.67 | 5.21 |M0Iab                 |  64|   0
175 |V* V441 Per                        |s*r|02 25 21.8599381234 +57 26 14.137762984|13.07 |10.61 | 8.22 | 6.09 | 4.29 |M3Iab                 |  71|   0
176 |HD 14899                           |*  |02 26 18.4720278204 +57 13 41.991937943| 7.72 | 7.83 | 7.39 |     ~|     ~|A0Ib                  |  58|   0
177 |V* YZ Per                          |s*r|02 38 25.4198565398 +57 02 46.198062168|14.96 |12.37 |10.01 |     ~|     ~|M1Iab                 |  87|   0
178 |* 61 And                           |s*b|02 19 04.4524770508 +57 08 07.798163786| 6.63 | 7.00 | 6.568|     ~| 6.688|B3Ia                  | 196|   0
179 |HD 17378                           |sg*|02 49 30.7365172243 +57 05 03.546216821| 7.65 | 7.14 | 6.26 | 5.44 | 4.68 |A5Ia                  | 169|   0
180 |V* W Per                           |s*r|02 50 37.8926244676 +56 59 00.297385667|14.80 |12.24 | 9.62 | 6.99 | 4.75 |M3Iab-M5I             | 101|   0
181 |* eta Per                          |*  |02 50 41.8095904 +55 53 43.787576      | 7.38 | 5.48 | 3.79 | 2.56 | 1.67 |K3-Ib-IIa             | 201|   0
182 |EGGR 473                           |WD*|02 48 36.4289567406 +54 23 22.463731008|     ~|16.25 |     ~|15.1  |     ~|DAZ9                  |  55|   0
183 |* gam Per                          |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:         | 195|   0
184 |HD 20123                           |*  |03 16 12.2033348937 +50 56 15.586367207| 7.01 | 6.18 | 5.03 |     ~|     ~|G5Ib-IIa              |  86|   0
185 |HD 21479                           |*  |03 29 51.8809257252 +49 12 48.500782866|     ~| 7.38 | 7.31 |     ~|     ~|A1IVn                 |  51|   0
186 |HD 21620                           |Al*|03 31 29.3397170443 +49 12 35.180260731| 6.390| 6.350| 6.280|     ~|     ~|A0Vn                  |  58|   0
187 |HD 22401                           |*  |03 38 15.5794022406 +47 34 37.150848627|     ~| 7.47 | 7.46 |     ~|     ~|A0V                   |  87|   0
188 |HD 187091                          |EB*|19 46 15.5313838595 +43 56 51.339206744|     ~| 8.53 | 8.39 |     ~|     ~|kA3hA5mA5(IV)sAm:     |  58|   0
189 |V* V1264 Cyg                       |a2*|19 34 43.9291708140 +43 56 45.072259111|     ~| 6.589| 6.620|     ~|     ~|A0p                   | 103|   0
190 |KOI-364                            |Ro*|19 43 29.3537343599 +42 52 52.080705146|     ~|10.81 |10.13 |     ~|     ~|G2.5IVa               |  50|   0
191 |HD 188209                          |s*b|19 51 59.0685711923 +47 01 38.420250587| 4.61 | 5.55 | 5.63 | 5.54 | 5.64 |O9.5Iab               | 289|   0
192 |V* V2094 Cyg                       |gD*|19 55 12.0487328451 +46 39 56.025907892|     ~| 7.94 | 7.62 |     ~|     ~|A7pCrEu               |  55|   1
193 |* del Cyg                          |PM*|19 44 58.4785413 +45 07 50.916066      | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |A0IV                  | 278|   0
194 |* nu. Cep                          |sg*|21 45 26.9247788 +61 07 14.899897      | 4.94 | 4.81 | 4.29 | 3.79 | 3.35 |A2Iae                 | 237|   1
195 |V* VV Cep                          |Al*|21 56 39.1438495 +63 37 32.017439      | 7.03 | 6.65 | 4.90 | 3.19 | 1.85 |M2epIa-Iab+B8:eV      | 428|   1
196 |* ksi Cep                          |** |22 03 47.45499 +64 37 40.7128          | 4.72 | 4.63 | 4.29 | 3.97 | 3.84 |Am+F7/8V              | 167|   0
197 |V* RZ Cep                          |RR*|22 39 13.1765877051 +64 51 30.609250748|     ~| 9.48 |     ~| 9.3  |     ~|A0-F2                 | 144|   0
198 |V* WX Cep                          |Al*|22 31 15.7898100011 +63 31 21.553531992|     ~| 9.38 | 9.00 |     ~|     ~|A5V+A2V               |  96|   0
199 |* 30 Cep                           |*  |22 38 39.0512105611 +63 35 04.097067197|     ~| 5.254| 5.188|     ~|     ~|A0IV                  |  55|   0
200 |IRAS 22574+6609                    |pA*|22 59 18.36 +66 25 48.2                |     ~|     ~|     ~|19.2  |     ~|A1-6I                 |  55|   0
201 |V* V650 Cas                        |a2*|23 48 39.05246 +64 52 35.2292          |     ~| 6.527| 6.476|     ~|     ~|A0VpSrSiCrHg          |  79|   1
202 |HD 4775                            |SB*|00 50 43.6042555662 +64 14 51.282336412|     ~| 5.868| 5.362|     ~|     ~|G5III+A0V             |  84|   1
203 |HD 6474                            |s*y|01 06 59.7402267744 +63 46 23.392652492|     ~| 9.11 | 7.60 |     ~|     ~|G4Ia                  |  76|   0
204 |V* BM Cas                          |sg*|00 54 45.9497898796 +64 05 05.170552185|     ~| 9.80 | 8.91 |     ~|     ~|A5Ia                  |  71|   0
205 |V* V662 Cas                        |HXB|01 18 02.6973905772 +65 17 29.829417242|12.27 |11.99 |11.14 |10.33 | 9.58 |B1Iae                 | 231|   0
206 |HD 9105                            |s*b|01 31 17.9913681752 +63 20 51.270093808| 7.77 | 8.02 | 7.47 |     ~|     ~|B5Iab                 |  62|   0
207 |BD+60 493                          |s*b|02 30 51.3553939884 +61 10 39.973747525|10.571| 9.12 | 8.48 |     ~|     ~|B0.5Iae               |  63|   0
208 |HD 15785                           |s*b|02 34 48.0520007647 +60 33 07.449585942|10.033| 8.82 | 8.37 |     ~|     ~|B1Iab                 |  68|   0
209 |HD 13256                           |s*b|02 11 43.9098048757 +60 42 44.499737037| 9.8  | 9.69 | 8.68 |     ~|     ~|B1Ia                  |  59|   0
210 |IRAS Z02229+6208                   |pA*|02 26 41.7848292289 +62 21 21.976769830|     ~|14.69 |12.00 |11.16 | 8.92 |G8-K0_0-Ia:           |  52|   0
211 |V* DO Cas                          |bL*|02 41 24.1561442314 +60 33 11.767672111|     ~| 8.80 | 8.54 |     ~|     ~|A2II                  | 101|   0
212 |HD 16778                           |*  |02 43 53.6909481780 +59 49 21.945042644|11.084| 8.54 | 7.77 |     ~|     ~|A1Ia                  |  56|   0
213 |V* GP Cas                          |s*r|02 39 50.4398942442 +59 35 51.303381589|16.80 |14.21 |11.50 |     ~|     ~|M2Iab                 |  64|   0
214 |HD 17088                           |** |02 46 51.4502233241 +57 44 01.686056812| 8.37 | 8.27 | 7.61 |     ~|     ~|B9Ia                  |  59|   0
215 |HD 17145                           |*  |02 47 24.2474716169 +57 40 37.593954283| 8.97 | 8.98 | 8.16 | 7.39 | 6.76 |A1Ia+                 |  59|   0
216 |HD 17581                           |SB*|02 51 45.8798787922 +58 18 51.461851254|     ~| 6.555| 6.443|     ~|     ~|A1m                   |  51|   0
217 |V* V648 Cas                        |s*r|02 51 03.9484484442 +57 51 19.923645406|14.78 |12.11 | 9.38 | 6.83 | 4.76 |M2Ia                  |  52|   0
218 |HD 18391                           |s*y|02 59 48.7224844706 +57 39 47.671063257|10.56 | 8.83 | 6.89 |     ~|     ~|G5Ia-Ib               |  97|   0
219 |HD 20041                           |*iN|03 15 47.9704259501 +57 08 26.243209896| 6.61 | 6.52 | 5.79 |     ~|     ~|A0Ia                  | 126|   1
220 |HD 21447                           |*  |03 30 00.1834708229 +55 27 06.513970075| 5.160| 5.140| 5.090| 5.01 | 5.02 |A1Va                  | 122|   0
221 |V* RW Per                          |Al*|04 20 16.7639572675 +42 18 51.805627087|     ~|10.19 | 9.72 |     ~|     ~|A2                    | 127|   0
222 |* psi Cyg                          |SB*|19 55 37.7879400302 +52 26 20.139603026|     ~| 5.12 | 5.02 |     ~|     ~|A4Vn                  |  67|   0
223 |V* V1372 Cyg                       |a2*|20 13 36.3256530372 +53 39 33.549163874|     ~| 7.334| 7.333|     ~|     ~|A4p                   | 119|   0
224 |* 33 Cyg                           |PM*|20 13 23.8666139 +56 34 03.799925      |     ~| 4.384| 4.271|     ~|     ~|A3IV-Vn               |  80|   0
225 |HD 193592                          |** |20 18 24.75071 +55 23 49.5490          |     ~| 5.87 | 5.76 |     ~|     ~|A2IV+F3V              |  51|   0
226 |BD+58 2187                         |** |20 53 41.3521862 +59 18 27.460957      |     ~| 7.298| 6.956| 7.76 |     ~|F2+A2                 |  58|   0
227 |* alf Cep                          |PM*|21 18 34.77233 +62 35 08.0681          | 2.770| 2.680| 2.460| 2.22 | 2.11 |A8Vn                  | 341|   0
228 |HD 223274                          |*  |23 47 54.7685862781 +67 48 24.496589516|     ~| 5.041| 5.044|     ~|     ~|A1Vn                  |  54|   0
229 |* 43 Cas                           |a2*|01 42 20.5260877220 +68 02 34.890569843| 5.29 | 5.52 | 5.59 |     ~|     ~|A0VpSiSrEuHgMn        | 107|   0
230 |GD 421                             |WD*|01 51 10.2806258531 +67 39 31.248314711|13.133|14.201|14.414|14.509|14.572|DA1.6                 |  54|   0
231 |HD 11946                           |*  |01 59 38.0372761533 +64 37 17.756072145|     ~| 5.273| 5.278|     ~|     ~|A0Vn                  |  60|   0
232 |* 53 Cas                           |*  |02 03 00.1867607539 +64 23 24.064160879| 5.69 | 5.930| 5.614|     ~|     ~|A0Ib                  | 103|   0
233 |* 55 Cas                           |** |02 14 29.0899880037 +66 31 27.968996027| 7.040| 6.700| 6.070|     ~|     ~|F9II+A2Vn             |  56|   0
234 |HD 14010                           |s*b|02 18 44.6860645121 +64 25 29.745405593| 7.25 | 7.677| 7.161|     ~|     ~|B9Ia                  |  54|   0
235 |HD 17971                           |*  |02 55 54.3118020240 +60 23 35.747400892| 9.71 | 8.81 | 7.75 |     ~|     ~|F5Ia_CaII(e)          |  73|   0
236 |HD 21769                           |*  |03 33 32.2064081605 +58 45 54.878091675|     ~| 6.552| 6.409|     ~|     ~|A4III                 |  50|   0
237 |HD 21389                           |sg*|03 29 54.7426451518 +58 52 43.510657630| 4.99 | 5.10 | 4.54 | 4.03 | 3.53 |A0Ia                  | 286|   0
238 |HD 25056                           |*  |04 01 37.3249341437 +53 51 57.375555277|     ~| 8.20 | 7.06 |     ~|     ~|G1Ib-IIa:             |  60|   0
239 |* lam Per                          |*  |04 06 35.0435954 +50 21 04.549959      | 4.27 | 4.31 | 4.29 | 4.21 | 4.19 |A0IVn                 | 102|   0
240 |V* AR Per                          |RR*|04 17 17.1973966622 +47 24 00.635143177|10.72 |10.37 | 9.94 |     ~|     ~|A3                    | 148|   0
241 |V* V548 Cyg                        |bL*|19 56 58.3060910805 +54 47 58.280580154|     ~| 8.71 | 8.61 |     ~|     ~|A1V                   |  95|   0
242 |V* XX Cyg                          |SX*|20 03 15.6422423360 +58 57 16.525128223|     ~|11.99 |11.86 |     ~|     ~|A5-F5                 | 110|   0
243 |HD 194882                          |** |20 25 05.0079334752 +59 36 00.344850272|     ~| 6.523| 6.441|     ~|     ~|A2IVs                 |  54|   0
244 |* tet Cep                          |SB*|20 29 34.8651841062 +62 59 38.621587534| 4.58 | 4.42 | 4.22 | 4.05 | 3.96 |A7III                 | 144|   0
245 |V* EK Cep                          |Al*|21 41 21.5039950844 +69 41 34.108387051|     ~| 7.95 | 7.89 |     ~|     ~|A0V                   | 199|   0
246 |HD 213973                          |** |22 33 02.91024 +69 54 48.7698          |     ~|     ~|     ~|     ~|     ~|A9III                 |  67|   0
247 |WD 2218+706                        |WD*|22 19 33.6834600386 +70 56 03.184261868|     ~|15.268|15.495|15.568|15.631|DA.7                  |  71|   1
248 |HD 12288                           |a2*|02 03 30.5093779864 +69 34 56.260586887|     ~| 7.83 | 7.74 |     ~|     ~|A0pCrSi               |  94|   0
249 |HD 16769                           |SB*|02 44 49.6961998950 +67 49 28.677084641|     ~| 6.059| 5.945|     ~|     ~|A5III                 |  66|   0
250 |V* TW Cas                          |Al*|02 45 54.8226328834 +65 43 35.048145039|     ~| 8.48 | 8.38 |     ~|     ~|A0V                   | 117|   0
251 |HD 21291                           |s*b|03 29 04.1289203454 +59 56 25.213264523| 4.40 | 4.63 | 4.22 | 3.84 | 3.46 |B9Ia                  | 279|   1
252 |HD 24141                           |** |03 53 43.2850800365 +57 58 30.531198337| 7.92 | 5.967| 5.786|     ~|     ~|kA3hF0mF0             |  70|   0
253 |* b Per                            |SB*|04 18 14.6168986 +50 17 43.805740      |     ~| 4.639| 4.594|     ~| 4.44 |A1III                 | 148|   0
254 |SH 2-216                           |PN |04 43 21.2636696575 +46 42 05.836016165|     ~|12.50 |12.87 |13.04 |     ~|DAO.6                 | 150|   2
255 |BD+46 2629                         |Er*|19 07 53.104944 +46 52 06.00420        |     ~|10.12 | 9.70 | 9.80 |     ~|A0                    | 131|   0
256 |V* CH Cyg                          |Sy*|19 24 33.0697620341 +50 14 29.057625755| 8.14 | 8.77 | 7.08 |     ~| 5.345|M7IIIab+Be            | 742|   0
257 |* iot Cyg                          |PM*|19 29 42.3587204 +51 43 47.205830      |     ~| 3.899| 3.755|     ~|     ~|A5V                   | 123|   0
258 |V* XZ Cyg                          |RR*|19 32 29.3054833102 +56 23 17.494421260|     ~| 9.94 | 9.68 |     ~|     ~|A5-F7                 | 246|   0
259 |V* V1817 Cyg                       |RS*|19 31 13.5555646958 +55 43 54.606371185|     ~| 7.489| 6.369|     ~|     ~|K2II-III+A0V          | 142|   0
260 |V* V1143 Cyg                       |EB*|19 38 41.1831603282 +54 58 25.642065005|     ~|     ~|     ~| 5.6  |     ~|F6Va                  | 203|   0
261 |HD 189276                          |*  |19 55 55.3792000435 +58 50 45.475151496| 8.47 | 6.51 | 4.96 | 3.56 | 2.92 |K4.5IIIa              |  72|   0
262 |SN 2000E                           |SN*|20 37 13.77 +66 05 50.2                |     ~|12.85 |     ~|     ~|     ~|SNIa                  |  79|   1
263 |V* PV Cep                          |Or*|20 45 53.9537161790 +67 57 38.678052612|     ~|19.27 |17.46 |15.98 |14.60 |A5                    | 254|   3
264 |V* GK Cep                          |bL*|21 30 59.1547492504 +70 49 23.626786254|     ~| 7.08 | 7.00 |     ~|     ~|A0V                   |  78|   0
265 |* 80 Dra                           |*  |22 10 15.2987854541 +72 06 40.550044597|     ~| 6.297| 6.346|     ~|     ~|A0VpHgSrSi            |  55|   0
266 |* 21 Cas                           |Al*|00 45 39.0741754240 +74 59 17.056290402|     ~| 5.717| 5.652|     ~|     ~|A2IV                  | 200|   0
267 |* 48 Cas                           |SB*|02 01 57.45035 +70 54 25.2902          | 4.76 | 4.70 | 4.54 | 4.36 | 4.28 |A3Va                  | 153|   0
268 |* 50 Cas                           |*  |02 03 26.1061810 +72 25 16.657747      |     ~| 3.953| 3.938|     ~|     ~|A2V                   |  75|   0
269 |V* AB Cas                          |Al*|02 37 31.5113123367 +71 18 16.273650984|     ~|10.59 |10.32 |     ~|     ~|A3                    | 143|   0
270 |V* RZ Cas                          |Al*|02 48 55.5096536172 +69 38 03.441544807|     ~| 6.40 | 6.26 |     ~|     ~|A3V                   | 438|   0
271 |V* RX Cas                          |bL*|03 07 45.7481570255 +67 34 38.614798549|     ~|10.14 | 8.64 |     ~|     ~|K1III+A5eIII          | 173|   0
272 |HD 20104                           |** |03 17 31.52535 +65 39 30.1099          |     ~|     ~|     ~|     ~|     ~|A3V                   |  70|   0
273 |V* RX Cam                          |cC*|04 04 58.4642958819 +58 39 35.218272520|     ~| 8.85 | 7.70 |     ~| 6.233|G2Ib+A0V              | 179|   0
274 |* 2 Cam                            |** |04 39 58.0618680524 +53 28 22.465412470|     ~|     ~|     ~| 6.70 |     ~|A8V                   |  91|   0
275 |HD 29526                           |PM*|04 41 24.1281742512 +48 18 03.164350607|     ~| 5.642| 5.652|     ~|     ~|A0V                   |  54|   0
276 |* 16 Lyr                           |PM*|19 01 26.3822796722 +46 56 05.139765520|     ~| 5.189| 5.006|     ~|     ~|A6IV                  |  79|   0
277 |* 51 Dra                           |*  |19 04 55.1662410506 +53 23 47.952890641|     ~| 5.37 | 5.38 |     ~|     ~|A0Vn                  |  52|   0
278 |* rho Dra                          |PM*|20 02 49.0726835 +67 52 24.829427      | 7.31 | 5.81 | 4.50 | 3.57 | 2.92 |K2+IIICN1Ca1          |  75|   0
279 |G 263-3                            |WD*|21 26 57.6568975270 +73 38 44.664588151|12.15 |12.80 |12.83 |13.30 |     ~|DA3.1                 |  92|   0
280 |V* GQ Cep                          |a2*|22 39 22.8976236772 +75 39 27.457842284|     ~| 8.11 | 8.15 |     ~|     ~|A0p                   |  55|   0
281 |* 4 Cam                            |** |04 48 00.2736206740 +56 45 25.840991742|     ~| 5.519| 5.275| 5.1  | 5.08 |A3m                   |  75|   0
282 |HD 175535                          |SB*|18 53 13.5547782565 +50 42 29.784513125|     ~| 5.82 | 4.92 |     ~|     ~|G7IIIaFe-1            |  76|   0
283 |HD 175225                          |PM*|18 51 34.9220457822 +52 58 30.251981548|     ~| 6.35 |     ~| 5.0  |     ~|G9IVa                 | 105|   0
284 |CCDM J18575+5814AB                 |** |18 57 28.47990 +58 13 30.0883          | 6.590| 6.530| 6.450|     ~|     ~|A2IV                  |  66|   1
285 |V* BH Dra                          |Al*|19 03 39.5420830247 +57 27 25.859711121|     ~| 8.47 | 8.43 |     ~|     ~|A1Vn                  |  65|   0
286 |* pi. Dra                          |*  |19 20 40.0933316 +65 42 52.309518      | 4.67 | 4.61 | 4.59 | 4.55 | 4.58 |A0III                 |  91|   0
287 |HD 182308                          |*  |19 19 46.1393125405 +64 23 26.903846031|     ~| 6.413| 6.504|     ~|     ~|A0Ib                  |  92|   0
288 |* 73 Dra                           |a2*|20 31 30.3893892230 +74 57 16.597317688|     ~| 5.271| 5.185|     ~|     ~|A9:VpCrSrEu           | 248|   1
289 |BD+78 1                            |** |00 09 20.17441 +79 42 52.3636          |     ~| 6.240| 6.047|     ~|     ~|A7IV                  |  84|   1
290 |HD 6798                            |PM*|01 12 16.8173485162 +79 40 26.270447928| 5.650| 5.620| 5.600|     ~|     ~|A3V                   |  56|   0
291 |HD 23277                           |SB*|03 49 13.7382975824 +70 52 15.786177055|     ~| 5.489| 5.391|     ~|     ~|kA2hA6VmA7            |  56|   0
292 |* gam Cam                          |*  |03 50 21.5089163 +71 19 56.148492      |     ~| 4.655| 4.604|     ~|     ~|A2IVn                 |  56|   0
293 |V* WW Cam                          |Al*|04 31 25.2823769221 +64 21 45.496920856|     ~|10.61 |10.09 |     ~|     ~|A5                    |  52|   0
294 |V* BR Cam                          |WD*|04 59 27.2436978084 +55 25 21.054241072|     ~|15.98 |     ~|16.1  |     ~|DA4.3                 |  58|   0
