C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
154 |BD+56 405                          |*  |02 01 36.0688202788 +57 33 05.879011244|     ~|10.13 | 9.89 |     ~|     ~|OB-e                               |  27|   0
155 |HD 12323                           |SB*|02 02 30.1267578900 +55 37 26.377362418| 7.95 | 8.87 | 8.92 |     ~|     ~|ON9.2V                             | 167|   0
156 |HD 13831                           |Pu*|02 16 39.2179548198 +56 44 16.087084527| 7.56 | 8.32 | 8.26 |     ~|     ~|O9.5I                              |  69|   0
157 |BD+56 541                          |*  |02 19 41.2758391863 +56 42 58.524101758| 9.74 |10.39 |10.35 |     ~|     ~|OB-                                |  13|   0
158 |HD 13268                           |*  |02 11 29.7002216680 +56 09 31.717631935| 7.48 | 8.24 | 8.18 |     ~|     ~|ON8.5IIIn                          | 161|   0
159 |HD 13745                           |bC*|02 15 45.9348133590 +55 59 46.728415082| 7.22 | 7.99 | 7.90 |     ~|     ~|O9.7II(n)                          | 158|   0
160 |BD+56 494                          |*  |02 18 20.6941454182 +56 53 13.733579700|     ~|10.15 | 9.622|     ~| 9.158|OB-                                |  16|   0
161 |LS V +56 14                        |*  |02 17 46.8821781625 +56 57 01.715439689|     ~|11.275|11.049|     ~|     ~|OB-                                |  11|   0
162 |HD 15642                           |*  |02 32 56.3834041116 +55 19 39.056615952| 9.305| 8.56 | 8.55 |     ~|     ~|O9.5II-IIIn                        |  90|   0
163 |BD+49 856                          |*  |03 08 28.7672829136 +49 50 45.497600755|     ~|12.43 |11.65 |     ~|     ~|OB-                                |  10|   0
164 |HD 191781                          |s*b|20 09 50.5815085623 +45 24 10.485607388|10.1  |10.06 | 9.53 |     ~|     ~|ON9.7Iab                           |  59|   0
165 |LS III +55 8                       |*  |21 11 01.5047944513 +56 12 05.851996759|10.62 |10.90 |10.27 |     ~|     ~|OB+                                |  11|   0
166 |HD 206183                          |*  |21 38 26.2840282278 +56 58 25.455651545| 6.75 | 7.55 | 7.41 |     ~|     ~|O9.5IV-V                           |  86|   0
