C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
167 |HD 206267                          |SB*|21 38 57.6182747705 +57 29 20.557311013| 5.09 | 5.83 | 5.62 |     ~| 5.56 |O6.0V((f))+O9:V                    | 454|   0
168 |HD 204827                          |SB*|21 28 57.7601719555 +58 44 23.223287944| 8.63 | 8.74 | 7.94 | 7.25 | 6.76 |O9.5IV                             | 305|   0
169 |HD 207538                          |*  |21 47 39.7898466603 +59 42 01.344202478| 7    | 7.55 | 7.30 |     ~|     ~|O9.7IV                             | 177|   1
170 |V* DL Cep                          |bL*|22 00 25.1993314618 +59 41 30.316878412|     ~|12.50 |12.14 |     ~|     ~|OB-e:                              |  22|   0
171 |* lam Cep                          |s*b|22 11 30.5750839949 +59 24 52.147736074| 4.55 | 5.29 | 5.05 | 4.77 | 4.62 |O6.5I(n)fp                         | 646|   1
172 |HD 216532                          |V* |22 52 30.5564449825 +62 26 25.946675282| 8.06 | 8.46 | 8.0  |     ~|     ~|O8.5V(n)                           | 130|   0
173 |2MASS J23133024+6130103            |Y*?|23 13 30.2433999427 +61 30 10.332792488|     ~|     ~|     ~|     ~|     ~|O9.5V+B0.5V                        |  25|   0
174 |HD 217086                          |Y*O|22 56 47.1887219290 +62 43 37.654789076| 7.88 | 8.30 | 7.66 | 8.35 |     ~|O7Vnn((f))z                        | 243|   0
175 |Hilt 1207                          |*  |23 17 03.3896941098 +61 53 08.570282671|11.14 |11.23 |10.2  |     ~|     ~|O9                                 |  13|   0
176 |HD 216898                          |*  |22 55 42.4581895079 +62 18 22.820044865| 8.10 | 8.58 | 8.04 |     ~|     ~|O9V                                | 140|   0
177 |TYC 4279-1463-1                    |*  |23 13 34.3975982182 +61 30 14.636892402|     ~|12.76 |11.66 |     ~|     ~|O3.5V((f*))+O9.5V                  |  23|   0
178 |Hilt 1217                          |Em*|23 22 50.7296086710 +62 08 03.756565304|11.2  |11.55 |10.8  |     ~|     ~|O8(f)                              |  14|   0
179 |BD+61 2550                         |*  |23 52 19.5382551948 +62 07 06.592397768| 8.99 | 9.58 | 9.4  |     ~|     ~|O9.5II                             |  30|   0
180 |BD+61 2559                         |*  |23 53 43.8339493479 +62 25 24.624954578| 9.35 | 9.96 | 9.8  |     ~|     ~|O9V                                |  36|   0
181 |* 6 Cas                            |** |23 48 50.17052 +62 12 52.2577          |     ~|     ~|     ~| 6.60 |     ~|A2.5(I)+O9.8II                     | 179|   0
182 |EM* GGR 169                        |Em*|00 07 57.7051424753 +63 40 43.451249735|     ~|10.99 |10.68 |     ~|     ~|O8                                 |  12|   0
183 |BD+63 12                           |*  |00 13 35.0037387152 +64 09 53.574038762| 9.86 |10.18 | 9.72 |     ~|     ~|O9Ib                               |  19|   0
184 |Hilt 3                             |Em*|00 06 26.6906408169 +62 30 33.410098172|10.16 |10.76 |10.5  |     ~|     ~|O9V                                |  11|   0
185 |EM* GGR 172                        |Em*|00 09 25.0874120781 +62 47 18.296423063|11.09 |11.4  |11.3  |     ~|     ~|O9                                 |  10|   0
186 |EM* VES 686                        |Em*|00 14 20.6453842296 +63 13 00.091637123|11.95 |12.36 |11.73 |     ~|     ~|OB+                                |  12|   0
187 |BD+61 40                           |Em*|00 20 25.6354287299 +62 23 46.754769088| 9.53 |10.03 | 9.55 |     ~|     ~|OB                                 |  19|   0
188 |HD 225160                          |s*b|00 04 03.7942401494 +62 13 19.008096888| 7.74 | 8.46 | 8.19 |     ~|     ~|O8Iabf                             | 112|   0
189 |HD 108                             |SB*|00 06 03.3885906204 +63 40 46.771682957| 6.79 | 7.58 | 7.40 |     ~|     ~|O4-8f?p                            | 303|   0
190 |LS I +64 11                        |*  |00 01 34.8759 +64 37 24.159            | 9.99 |10.61 |10.15 |     ~|     ~|O9.5V                              |  12|   0
191 |BD+62 79                           |*  |00 26 30.4005693435 +63 26 32.208216669| 9.07 | 9.56 | 9.25 |     ~|     ~|O9.5IV                             |  20|   0
192 |BD+62 108                          |Em*|00 35 06.0734917734 +62 58 58.593631797|10.5  |10.9  |10.6  |     ~|     ~|OB-e:                              |  15|   0
193 |BD+61 74                           |*  |00 25 56.7620573986 +62 32 59.416281932| 9.21 | 9.84 | 9.64 |     ~|     ~|O9Vnn                              |  22|   0
194 |BD+61 91                           |*  |00 28 45.2003558780 +62 39 25.301654541|10.21 |10.82 |10.7  |     ~|     ~|OB-                                |  12|   0
195 |BD+61 105                          |Em*|00 31 19.2011221327 +62 25 39.442532948| 8.87 | 9.50 | 9.34 |     ~|     ~|O9Ve                               |  38|   0
196 |LS I +61 147                       |*  |00 22 54.6922528408 +62 14 29.978634194|10.62 |11.13 |12.91 |     ~|     ~|OB-                                |  10|   0
197 |HD 5689                            |*  |00 59 47.5907582553 +63 36 28.248460849| 8.79 | 9.41 | 9.19 |     ~|     ~|O7Vn((f))                          |  42|   0
198 |BD+60 134                          |*  |00 56 14.2145284751 +61 45 36.972995809|11    |11.29 |10.6  |     ~|     ~|O5.5V(n)((f))                      |  15|   0
199 |Hilt 63                            |*  |00 48 12.5520049254 +62 59 24.882428677|11.35 |11.88 |11.40 |     ~|     ~|O7Vz                               |  15|   0
200 |BD+62 245                          |Be*|01 24 19.3465189146 +62 49 36.893390938|10.91 |11.05 |10.15 |     ~|     ~|OBe                                |  21|   0
201 |BD+62 249                          |*  |01 26 08.0098 +63 02 02.868            |10.4  |10.68 |10.20 |     ~|     ~|O9.5V                              |  18|   0
202 |EM* AS 16                          |Be*|01 22 32.5606340106 +61 32 58.254824954|11.35 |11.4  |10.9  |     ~|     ~|OBe                                |  16|   0
203 |BD+60 261                          |*  |01 32 32.7210511990 +61 07 45.840873483| 8.27 | 8.94 | 8.69 |     ~|     ~|O7.5III(n)((f))                    |  44|   0
204 |BD+59 367                          |*  |01 58 38.0071000037 +60 30 53.809327018| 9.78 |10.19 | 9.82 |     ~|     ~|O9.5Ib                             |  19|   0
205 |EM* AS 47                          |Em*|01 54 23.7770635019 +60 06 38.778372234|     ~|11.50 |10.69 |     ~|     ~|OB-e                               |  10|   0
206 |BD+56 464                          |*  |02 15 47.5321104895 +57 25 14.262583734|     ~|10.25 |10.02 |     ~|     ~|OB-e                               |  10|   0
207 |HD 12993                           |V* |02 09 02.4746903345 +57 55 55.949415364| 8.38 | 9.13 | 8.98 |     ~|     ~|O6.5V((f))Nstr                     | 137|   0
208 |HD 13338                           |*  |02 12 19.1722152248 +57 56 27.175984789| 8.73 | 9.38 | 9.17 |     ~|     ~|O9.5V                              |  51|   0
209 |Hilt 233                           |*  |02 12 29.974 +59 54 04.12              |11.87 |11.94 |10.99 |     ~|     ~|O8V+B0V                            |  21|   0
210 |HD 13022                           |*  |02 09 30.0715419267 +58 47 01.555417587|     ~| 9.06 | 8.83 |     ~|     ~|O9.7II-III                         |  50|   0
211 |HD 14442                           |V* |02 22 10.7000311184 +59 32 58.894123083| 9.01 | 9.58 | 9.27 |     ~|     ~|O5n(f)p                            |  97|   0
212 |V* V1163 Cas                       |Be*|02 14 26.6221042294 +59 45 11.925200094|11.5  |11.3  |11.2  |     ~|     ~|OB-pec?                            |  13|   0
213 |LS V +57 9                         |*  |02 18 29.8972165713 +57 21 59.452773894|     ~|10.56 |10.41 |     ~|     ~|OB-                                |  14|   0
214 |BD+56 554                          |*  |02 21 09.3169822063 +56 49 00.233311423|     ~| 9.69 | 9.60 |     ~|     ~|OB-                                |  11|   0
215 |BD+56 556                          |*  |02 21 11.5975 +56 51 14.104            | 9.07 | 9.54 | 8.499|     ~| 8.063|OB-                                |  16|   0
216 |HD 14434                           |Em*|02 21 52.4122106464 +56 54 18.032877629| 7.87 | 8.65 | 8.49 | 8.29 | 8.20 |O5.5Vnn((f))p                      | 169|   0
217 |EM* MWC 43                         |Em*|02 23 19.1928088584 +57 31 27.409482355| 9.95 |10.49 | 9.97 |     ~|     ~|OBe                                |  18|   0
218 |LS V +57 25                        |*  |02 23 32.3043138635 +57 24 06.319363113|     ~|10.72 |10.33 |     ~|     ~|OB-                                |  12|   0
219 |BD+56 594                          |*  |02 23 11.7669667417 +57 28 19.367228407| 9.47 |10.01 | 9.78 |     ~|     ~|OB                                 |  10|   0
220 |HD 16264                           |Be*|02 38 49.6333760844 +57 35 28.677635559|10.92 | 9.64 | 9.26 |     ~|     ~|OB                                 |  20|   0
221 |BD+56 604                          |*  |02 24 13.7133288487 +57 05 24.978306840|     ~|10.57 |10.115|     ~| 9.752|OB-                                |  17|   0
222 |HD 14947                           |s*b|02 26 46.9895793276 +58 52 33.116841083| 7.83 | 8.44 | 7.98 |     ~|     ~|O4.5If                             | 237|   0
223 |BD+56 506                          |Em*|02 18 49.5705703006 +57 34 07.517333875|10.31 |10.73 |10.38 |     ~|     ~|OB-e                               |  11|   0
224 |NGC 884 2804                       |Be*|02 23 33.0595021520 +57 04 32.678597486|     ~|10.85 |10.530|     ~|10.091|OBe                                |  17|   0
225 |LS V +57 16                        |Em*|02 21 57.3648510317 +57 20 21.776601456|     ~|11.287|10.783|     ~|     ~|OB-                                |  14|   0
226 |HD 16832                           |*  |02 44 12.7162201035 +56 39 27.246844533|10.285| 9.21 | 8.87 |     ~|     ~|O9.2III                            |  37|   0
227 |V* V871 Per                        |Al*|02 44 15.9131535749 +56 40 55.805490759|     ~|11.37 |10.89 |     ~|     ~|OB-                                |  10|   0
228 |HD 17603                           |*  |02 51 47.7980122812 +57 02 54.467517969| 8.68 | 9.10 | 8.45 |     ~|     ~|O7.5Ib(f)                          |  85|   0
229 |HD 16691                           |Em*|02 42 52.0259528193 +56 54 16.462912273|10.187| 9.07 | 8.70 |     ~|     ~|O4If                               | 141|   0
230 |KPD 1946+4340                      |HS*|19 47 42.8878643003 +43 47 30.757113602|13.05 |14.06 |14.23 |14.92 |     ~|sdOB+D                             |  47|   0
231 |HD 188209                          |s*b|19 51 59.0685711923 +47 01 38.420250587| 4.61 | 5.55 | 5.63 | 5.54 | 5.64 |O9.5Iab                            | 289|   0
232 |HD 202214                          |** |21 11 48.23752 +59 59 11.8024          | 4.97 | 5.75 | 5.72 |     ~|     ~|O9.5IV                             | 135|   0
233 |LS III +59 1                       |*  |21 02 34.7927544226 +59 26 09.410205089|11.91 |12.02 |11.17 |     ~|     ~|OB+                                |  10|   0
234 |HD 209339                          |** |22 00 39.2641276076 +62 29 16.064937019| 5.9  | 8.73 | 8.51 | 7.61 |     ~|O9.7IV                             | 168|   0
235 |HD 207198                          |*  |21 44 53.2790298387 +62 27 38.042162728| 5.61 | 6.25 | 5.94 | 5.66 | 5.49 |O8.5II                             | 322|   0
236 |* 19 Cep                           |*  |22 05 08.7884887056 +62 16 47.323982519| 4.36 | 5.19 | 5.11 | 4.95 | 4.92 |O9Ib                               | 363|   0
237 |LS III +63 1                       |Em*|22 06 17.3143240190 +63 55 02.697708954|     ~|11.30 |11.06 |     ~|     ~|OB-e:                              |  10|   0
238 |BD+62 2078                         |*  |22 25 33.5794981926 +63 25 02.615587763|10.83 |10.76 | 9.78 |     ~|     ~|O7V((f))z                          |  31|   0
239 |HD 213023                          |** |22 26 52.36705 +63 43 04.9074          | 9.01 | 9.41 | 8.81 | 8.76 |     ~|O9V:                               |  33|   0
240 |LS I +66 4                         |*  |00 04 16.1623262190 +66 20 56.862121655|12.54 |12.11 |10.79 |     ~|     ~|O9                                 |  17|   0
241 |BD+66 1674                         |*  |00 02 10.2411763509 +67 25 45.194165039|10.76 |10.67 | 9.60 |     ~|     ~|O9.7IV                             |  39|   0
242 |BD+66 1675                         |*  |00 02 10.2886223941 +67 24 32.228661181|10.18 |10.16 | 9.08 |     ~|     ~|O7.5Vz                             |  78|   0
243 |HD 10125                           |** |01 40 52.7553551700 +64 10 23.118158629| 7.88 | 8.52 | 8.28 |     ~|     ~|O9.7II                             |  71|   0
244 |LS I +63 166                       |bC*|01 43 32.1864087044 +64 02 15.268622312|     ~|10.80 |10.61 |10.613|10.63 |OB-                                |  14|   0
245 |HD 12192                           |*  |02 01 46.2770914438 +61 45 09.677643573| 8.65 | 9.08 | 8.88 |     ~|     ~|OB-                                |  19|   0
246 |BD+61 370                          |Em*|02 03 37.1321191561 +62 03 56.681255259|10.39 |10.60 |10.02 |     ~|     ~|O9V                                |  21|   0
247 |BD+61 411                          |Y*O|02 26 34.3948 +62 00 42.380            |11.09 |11.14 |10.28 |     ~|     ~|O6.5V((f))z                        |  55|   0
248 |BD+60 497                          |Y*O|02 31 57.0904023621 +61 36 43.955051676|10.466| 9.39 | 8.85 |     ~|     ~|O6.5V((f))+O8/B0V                  |  98|   0
249 |BD+60 498                          |Y*O|02 32 10.8540506726 +61 33 07.939413236|11.61 |10.47 | 9.94 |     ~|     ~|O9.7II-III                         |  89|   0
250 |BD+60 499                          |Y*O|02 32 16.7516820640 +61 33 14.995570935|10.27 |10.85 |10.31 |     ~|     ~|O9.5V                              |  61|   0
251 |BD+60 501                          |Y*O|02 32 36.2780467828 +61 28 25.587123115|11.062|10.02 | 9.56 |     ~|     ~|O7V(n)((f))z                       | 107|   0
252 |HD 15558                           |Y*O|02 32 42.5366735903 +61 27 21.582983306| 7.82 | 8.37 | 7.87 | 7.34 | 6.94 |O4.5III(f)                         | 297|   0
253 |BD+60 513                          |Y*O|02 34 02.5295312596 +61 23 10.878219820| 9.38 | 9.88 | 9.39 |     ~|     ~|O7Vnz                              |  97|   0
254 |BD+60 523                          |Em*|02 37 47.4127141640 +61 00 38.125008572|     ~|10.63 |10.17 |     ~|     ~|OB                                 |  14|   0
255 |BD+60 542                          |*  |02 40 46.1369420407 +61 17 48.509275562|     ~|11.14 |10.44 |     ~|     ~|OB-                                |  11|   0
256 |BD+60 544                          |** |02 41 08.214 +61 08 06.39              |     ~|10.05 | 9.52 |     ~|     ~|OB:                                |  12|   0
257 |BD+59 516                          |Em*|02 36 02.5746525106 +60 36 41.935987297|     ~|10.326| 9.804|     ~|     ~|OBe                                |  13|   0
258 |V* KM Cas                          |Or*|02 29 30.4682976017 +61 29 44.161579928|12.21 |12.27 |11.219|     ~|     ~|O9.5V((f))                         |  38|   0
259 |V* DN Cas                          |Al*|02 23 11.5401672709 +60 49 50.178767691|10.22 |10.46 | 9.93 |     ~|     ~|O8Vv                               |  79|   0
260 |EM* VES 735                        |Em*|02 20 07.1685543978 +61 07 05.544239058|     ~|     ~|     ~|     ~|     ~|O8.5V                              |  14|   0
261 |MPCM J022530.99+620620.9           |HII|02 25 31.18 +62 06 24.5                |     ~|     ~|     ~|     ~|     ~|O8V-B0.5V                          |  96|   1
262 |MPCM J022544.35+620611.7           |HII|02 25 44.26 +62 06 16.2                |     ~|     ~|     ~|     ~|     ~|O6.5V-O7.5V                        |  35|   0
263 |HD 15570                           |Em*|02 32 49.4205362766 +61 22 42.089023028| 8.40 | 8.80 | 8.11 | 7.41 | 6.86 |O4If                               | 283|   0
264 |HD 15629                           |Y*O|02 33 20.5872248837 +61 31 18.187980136| 8.23 | 8.85 | 8.42 |     ~|     ~|O4.5V((fc))                        | 219|   0
265 |HD 16429                           |SB*|02 40 44.9745976044 +61 16 56.068338055| 7.91 | 8.29 | 7.67 |     ~|     ~|O9.5III+F4V                        | 151|   0
266 |MPCM J022540.39+620540.1           |HII|02 25 40.51 +62 05 40.7                |     ~|     ~|     ~|     ~|     ~|O9V-B2V                            |  36|   0
267 |2MASS J02253778+6205522            |Y*O|02 25 37.78776 +62 05 52.2636          |     ~|     ~|     ~|     ~|     ~|O5V-O7V                            |  14|   0
268 |EM* VES 749                        |Em*|02 32 42.9896057803 +59 27 53.036609587|     ~|11.74 |11.18 |     ~|     ~|OB(e)                              |  10|   0
269 |HD 17505                           |** |02 51 07.97514 +60 25 03.8720          | 6.83 | 7.47 | 7.07 |     ~|     ~|O6.5III((f))n+O8V                  | 183|   0
270 |HD 17520                           |** |02 51 14.4243504858 +60 23 09.557322425| 7.86 | 8.54 | 8.24 | 7.96 | 7.73 |O8V+O9:Ve                          | 132|   0
271 |EM* GGA 206                        |Em*|02 50 38.6416476491 +57 20 10.267095357|     ~|12.49 |10.938|11.37 |     ~|OB                                 |  20|   0
