C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
102 |V* HT Cas                          |DN*|01 10 13.1213309510 +60 04 35.489284826|     ~|     ~|     ~|     ~|     ~|M5.5e                 | 366|   0
103 |HD 7733                            |LP*|01 18 13.8821856710 +57 48 11.408590799|     ~| 8.05 | 6.52 |     ~|     ~|M4II                  |  35|   1
104 |V* V466 Cas                        |LP*|01 19 53.6178739342 +58 18 30.744479337|13.04 |10.74 | 8.62 | 6.86 | 5.44 |M0.5Ib                |  62|   0
105 |V* V595 Cas                        |LP*|01 43 02.7150873354 +56 30 46.021838767|12.90 |10.81 | 8.82 |     ~|     ~|M2Ib:                 |  32|   0
106 |Ross 10                            |PM*|01 38 21.6158201323 +57 13 56.985916363|     ~|     ~|     ~|11.511|     ~|M2.5Ve                |  37|   0
107 |V* XX Per                          |LP*|02 03 09.3584858564 +55 13 56.623349355|11.66 |10.34 | 8.20 | 6.02 | 4.19 |M4Ib+                 |  79|   0
108 |V* KK Per                          |s*r|02 10 15.7841643885 +56 33 32.663658069|12.32 | 9.96 | 7.74 | 5.86 | 4.29 |M2Iab-Ib              |  99|   0
109 |V* SU Per                          |s*r|02 22 06.8945607706 +56 36 14.896842798|13.86 |11.57 | 9.40 |     ~|     ~|M3-M4Iab              | 132|   0
110 |G 95-59                            |LM*|03 50 13.88544 +43 25 40.6416          |     ~|     ~|     ~|13.34 |     ~|usdM0                 |  35|   0
111 |HD 187547                          |dS*|19 48 36.5086210077 +43 06 32.248121360|     ~| 8.66 | 8.40 |     ~|     ~|A4Vm                  |  30|   0
112 |G 208-45                           |Er*|19 53 55.1388332012 +44 24 54.144273353|     ~|15.97 |13.99 |14.3  |10.27 |M6V                   | 162|   0
113 |G 208-44                           |Er*|19 53 54.4821159649 +44 24 51.341564299|     ~|15.31 |13.126|13.083| 9.78 |M5.5Ve                | 187|   1
