C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
2912|V* AU Cyg                          |OH*|20 18 32.7816993196 +34 23 20.594536941|     ~|12.97 |11.24 |14.06 |     ~|M7                    |  33|   0
2913|BD+35 4077                         |s?r|20 21 14.0688820060 +35 37 16.557335640|14.72 |12.65 | 9.72 | 6.83 | 4.65 |M3Iab:                |  42|   0
2914|V* MY Cyg                          |Al*|20 20 03.3891496164 +33 56 35.010223215|     ~| 8.71 | 8.34 |     ~|     ~|A2.5m                 | 130|   0
2915|V* RT Boo                          |Mi*|15 17 14.7085141700 +36 21 33.437554911|     ~|12.28 |11.37 |     ~|     ~|M6.5e                 |  44|   0
2916|V* RR CrB                          |LP*|15 41 26.2290286619 +38 33 26.598602064|     ~| 9.02 | 8.40 |     ~|     ~|M3                    |  46|   0
2917|V* V CrB                           |C* |15 49 31.3129356625 +39 34 17.889392903|     ~|     ~| 6.90 |     ~|     ~|C6,2e_MS3             | 250|   0
2918|HD 144579B                         |PM*|16 04 50.8583044611 +39 09 35.919435070|     ~|15.92 |     ~|13.924|     ~|M4.0V                 |  36|   0
2919|* g Her                            |AB*|16 28 38.5485851 +41 52 54.040593      | 7.70 | 6.53 | 5.01 | 2.49 | 0.26 |M6-III                | 363|   0
2920|G 180-60                           |Er*|16 31 18.7890545317 +40 51 51.704950897|     ~|16.5  |     ~|14.550|     ~|M6V                   |  48|   0
2921|V* V636 Her                        |LP*|16 47 19.7464967323 +42 14 20.090790967| 9.07 | 7.48 | 5.87 |     ~|     ~|M4.5III               |  62|   0
2922|V* TX Her                          |Al*|17 18 36.4458928433 +41 53 17.102359797|     ~| 8.38 | 8.12 |     ~|     ~|kA5mA8/F0             | 170|   0
2923|BD+43 2796                         |PM*|17 43 55.9631098729 +43 22 43.000698258|     ~|12.10 |10.49 |10.07 |     ~|M2V                   | 110|   0
2924|V* RW Lyr                          |Mi*|18 45 10.1411333002 +43 38 07.762827961|     ~|     ~|13.095|     ~| 7.962|M7.5                  |  70|   0
2925|* 13 Lyr                           |LP*|18 55 20.1022285 +43 56 45.931489      | 7.00 | 5.59 | 4.00 | 1.95 | 0.04 |M5III                 | 300|   0
2926|V* RU Lyr                          |Mi*|19 12 21.2446875455 +41 18 13.466090347|     ~|     ~|     ~|     ~|     ~|M6.5e:                |  38|   0
2927|HD 186619                          |V* |19 43 45.0962637237 +41 46 23.194569433| 9.40 | 7.41 | 5.84 |     ~|     ~|M0III                 |  39|   0
2928|V* V973 Cyg                        |LP*|19 44 49.0394103223 +40 43 00.487861940| 9.90 | 7.99 | 6.37 | 4.78 |     ~|M3.5III               |  63|   0
2929|EM* AS 373                         |Sy*|19 57 05.0184580246 +39 49 36.085051314|     ~|     ~|     ~|     ~|10.592|M6/8e                 | 567|   0
2930|V* KY Cyg                          |s*r|20 25 58.0435813037 +38 21 07.675238156|     ~|13.62 |13.50 |     ~|     ~|M3Ia                  |  91|   0
2931|V* BI Cyg                          |s*r|20 21 21.8871531507 +36 55 55.725144903|     ~|11.48 | 8.40 |     ~|     ~|M4Iab                 |  97|   0
2932|V* BC Cyg                          |s*r|20 21 38.5480930133 +37 31 58.917783927|     ~|14.61 |11.30 |     ~|     ~|M3.5Ia                | 152|   0
2933|G 210-19                           |LM*|20 27 29.0848219064 +35 59 24.806448054|     ~|16.39 |     ~|14.0  |     ~|sdM1.5                |  31|   0
2934|V* V1329 Cyg                       |Sy*|20 51 01.2322054447 +35 34 54.111427235|     ~|     ~|     ~|     ~|     ~|M4IIIe                | 295|   2
2935|V* RX Pup                          |Sy*|08 14 12.3036011353 -41 42 29.086820756|     ~|12.39 | 9.00 |     ~|     ~|M5.5                  | 192|   1
2936|V* W Pup                           |Mi*|07 45 57.3570638449 -42 11 43.987413543|     ~|10.17 | 7.15 |     ~|     ~|M1-6e                 |  52|   0
2937|* L02 Pup                          |AB*|07 13 32.3181035 -44 38 23.062946      | 7.90 | 6.66 | 5.10 | 2.49 | 0.07 |M5IIIe                | 191|   0
2938|CD-44 3045                         |** |06 57 46.60263 -44 17 28.3117          |13.694|12.537|10.846| 9.717| 8.316|M3.5V                 |  63|   0
2939|V* T Pic                           |Mi*|05 15 05.8664274453 -46 55 04.848033051|     ~|11.94 | 7.90 |     ~|     ~|M6IIIe                |  33|   0
2940|HD 33793                           |Ro*|05 11 40.5893175460 -45 01 06.353955874|11.624|10.433| 8.853| 7.9  | 6.899|M1VIp                 | 283|   0
2941|HE 0338-3945                       |Pe*|03 39 55.0065616032 -39 35 42.904334997|     ~|15.753|15.333|15.098|14.787|CEMP-r/s              |  34|   0
2942|CD-38 1058                         |PM*|03 12 29.7722218569 -38 05 20.167166849|     ~|13.02 |11.51 |11.045| 9.36 |M3                    |  31|   0
2943|HD 68695                           |Ae?|08 11 44.5714790186 -44 05 08.775980169|     ~| 9.93 | 9.87 |     ~|     ~|A3VbekA0mA0_lB        |  30|   0
2944|Ruiz 207-61                        |LM*|07 07 53.2823467452 -49 00 50.305000745|     ~|     ~|20.99 |     ~|16.37 |M8.8V                 |  43|   0
2945|HD 51799                           |V* |06 56 15.9899939 -48 43 16.125750      | 8.56 | 6.64 | 4.95 | 3.47 | 2.29 |M1III                 |  31|   0
2946|V* V347 Pup                        |Al*|06 10 33.6585438847 -48 44 25.363237509|     ~|13.95 |13.57 |13.24 |12.79 |M0.5V                 |  85|   0
2947|HD 41004B                          |PM*|05 59 49.6473573887 -48 14 22.805780232|     ~|13.85 |12.33 |     ~|     ~|M                     |  50|   1
2948|V* S Pic                           |Mi*|05 10 57.2443296813 -48 30 25.442700775|     ~|10.46 | 6.50 |     ~|     ~|M7e                   |  82|   0
2949|V* U Hor                           |Mi*|03 52 47.0317958413 -45 49 48.139343307|     ~|10.27 | 7.80 |     ~|     ~|M6IIIe                |  33|   0
2950|L 372-58                           |PM*|03 35 59.6996745075 -44 30 45.725264343|16.22 |14.98 |13.07 |11.45 | 9.47 |M5.5V                 |  81|   0
2951|HD 22496                           |PM*|03 35 00.9398258924 -48 25 08.906751155|     ~| 9.89 | 8.57 |     ~|     ~|K5/M0V                |  77|   0
2952|CD-40 5404                         |** |09 39 46.3688775322 -41 04 03.201224127|13.395|12.215|10.694| 9.617| 8.231|M3V                   |  94|   0
2953|V* FZ Vel                          |dS*|08 58 52.3514571558 -47 14 04.853627634|     ~| 5.397| 5.146|     ~|     ~|A6/7(m)A7-F0          |  69|   0
2954|L 242-66                           |PM*|08 09 58.0515126151 -52 58 05.422248812|14.389|13.24 |11.74 |11.38 | 9.314|M3.0                  |  37|   0
2955|* nu. Pic                          |*  |06 22 55.8329813990 -56 22 11.884732761|     ~| 5.834| 5.598|     ~|     ~|A1mA3-A9              |  45|   0
2956|L 182-44                           |PM*|06 33 49.9717693776 -58 31 42.449389957|14.322|13.11 |11.57 |11.22 | 9.22 |M2.5                  |  42|   0
2957|CD-56 1032B                        |Er*|04 53 30.5452553720 -55 51 31.665032931|     ~|13.66 |13.92 |11.77 |     ~|M4Ve                  |  47|   0
2958|CD-57 1054                         |PM*|05 00 47.1300124315 -57 15 25.453371912|     ~|11.36 | 9.977| 9.889| 8.177|M0Ve                  |  89|   0
2959|L 229-91                           |PM*|04 09 15.6684896752 -53 22 25.289691709|14.397|13.302|11.811|10.734| 9.32 |M3.5                  |  73|   2
2960|L 230-188                          |PM*|04 10 28.1233708893 -53 36 08.138281500|     ~|15.51 |13.58 |     ~|     ~|M4.5                  |  35|   0
2961|CD-45 5378                         |PM*|09 44 29.8366584740 -45 46 35.425593490|12.278|11.372| 9.979| 9.019| 7.829|M1.0                  |  66|   0
2962|V* S Vel                           |Al*|09 33 13.2033580571 -45 12 30.870601506|     ~| 8.05 | 7.81 |     ~|     ~|A5(m)A5-A8            |  75|   0
2963|HD 81290                           |Pe*|09 23 02.0653762536 -49 03 30.791826501|     ~| 9.15 | 8.89 |     ~|     ~|F4VkA3mA3_lB?         |  48|   0
2964|V* RW Vel                          |Mi*|09 20 19.4226009651 -49 31 30.551690217|     ~|10.92 | 8.90 |     ~|     ~|M7e                   |  31|   0
2965|HD 74145                           |*  |08 40 01.6383796544 -52 42 12.543415785|     ~| 8.74 | 8.47 |     ~|     ~|A7/8III/IV(m)         |  50|   0
2966|HD 74438                           |*  |08 41 46.5773782488 -53 03 44.998857473|     ~| 7.81 | 7.58 |     ~|     ~|A2mA5-A8              |  44|   0
2967|HD 74044                           |*  |08 39 16.5287774028 -52 18 49.798370558|     ~| 8.69 | 8.48 |     ~|     ~|A3mA7-A7              |  44|   0
2968|V* V383 Car                        |dS*|06 59 04.0415954651 -58 30 53.332186706|     ~| 8.79 | 8.40 |     ~|     ~|Fm_dD                 |  35|   0
2969|EUVE J0625-60.0                    |PM*|06 25 56.0925770647 -60 03 27.038791608|     ~|13.87 |12.319|11.99 | 9.562|M5Ve                  |  32|   0
2970|V* T Hor                           |Mi*|03 00 52.1203742682 -50 38 31.873928537|11.19 |10.14 | 8.69 |     ~|     ~|M2/3e                 |  58|   0
2971|V* R Hor                           |Mi*|02 53 52.7746504509 -49 53 22.732999275|     ~|     ~| 3.92 | 4.99 | 1.51 |M5-7e                 | 172|   0
2972|HD 86006                           |SB*|09 54 31.1707680760 -45 43 51.536981637|     ~| 8.86 | 8.18 |     ~|     ~|G5IV/V+M4             |  34|   0
2973|CD-45 5627                         |Er*|09 58 34.3230661116 -46 25 30.404116219|13.77 |12.8  |11.320|10.133| 8.635|M3Ve                  |  80|   1
2974|V* WY Vel                          |Sy*|09 21 59.1348326260 -52 33 51.653914163|     ~| 9.758| 8.80 |     ~|     ~|M2pe                  |  39|   0
2975|V* V341 Car                        |LP*|07 56 50.9465103624 -59 07 32.759315630|10.62 | 8.33 | 6.25 |     ~|     ~|M1II                  |  70|   0
2976|V* V460 Car                        |LP*|07 59 37.5428660843 -60 35 13.413777487|     ~| 6.91 | 5.18 |     ~|     ~|M1.5IIb               |  75|   0
2977|V* WZ Dor                          |LP*|05 07 34.0289356332 -63 23 58.849558159|     ~| 6.776| 5.205|     ~|     ~|M3III                 |  41|   0
2978|V* R Ret                           |Mi*|04 33 32.8289293992 -63 01 44.986697764|     ~|10.33 | 6.50 |     ~|     ~|M6.5e                 |  65|   0
2979|V* R Dor                           |AB*|04 36 45.59127 -62 04 37.7974          | 7.84 | 6.98 | 5.40 | 2.71 |-0.44 |M8III:e               | 289|   0
2980|CD-53 570                          |PM*|02 50 09.7348851461 -53 08 20.288916228|13.442|12.238|10.717| 9.714| 8.547|M1.5                  |  43|   0
2981|V* AF Hor                          |Er*|02 41 47.3054299827 -52 59 30.645005174|     ~|13.70 |12.21 |     ~|     ~|M2Ve                  |  37|   0
2982|EXO 0235.2-5216                    |Er*|02 36 51.7015289640 -52 03 03.601426664|     ~|13.59 |12.411|     ~| 9.727|M2Ve                  |  48|   0
2983|V* MM Vel                          |HXB|10 13 36.4107940553 -45 04 32.555813596|     ~|14.84 |14.71 |     ~|     ~|G5V-M0V               | 185|   0
2984|* g Car                            |V* |09 16 12.0728569 -57 32 29.300662      |     ~| 5.941| 4.318|     ~|     ~|M0.5IIIa              |  32|   0
2985|* eta02 Dor                        |PM*|06 11 14.9830667172 -65 35 21.895201104| 8.49 | 6.63 | 5.01 | 3.51 | 2.27 |M2.5III               |  50|   0
2986|SV* HV 2827                        |cC*|05 43 47.3080229900 -66 35 08.943172884|     ~|13.37 |12.02 |     ~|11.220|M                     |  55|   0
2987|V* AB Dor B                        |** |05 28 44.4833327579 -65 26 46.034324029|     ~|     ~|13.0  |     ~|     ~|M5+M5-6               |  87|   0
2988|LHA 120-S 43                       |s*r|05 30 33.4701713887 -67 17 15.069885856|14.003|13.734|12.436|10.30 |     ~|M1:I:e+B1             |  32|   0
2989|V* U Dor                           |Mi*|05 10 08.8409471173 -64 19 04.275078260|     ~|11.86 | 8.10 |     ~|     ~|M8IIIe                |  56|   0
2990|* del Ret                          |V* |03 58 44.7494486 -61 24 00.667328      | 8.15 | 6.19 | 4.57 | 3.23 | 2.19 |M1.5III               |  45|   0
2991|* gam Ret                          |LP*|04 00 53.8085989 -62 09 33.425014      | 7.93 | 6.12 | 4.50 | 2.84 | 1.36 |M4III                 |  59|   0
2992|V* V Hor                           |LP*|03 03 28.3718177242 -58 55 58.956151020|     ~| 8.71 | 8.70 |     ~|     ~|M5-III                |  30|   0
2993|V* W Hor                           |LP*|02 44 14.7580383262 -54 18 04.117069657|     ~|10.04 | 8.84 |     ~|     ~|M5/7                  |  34|   0
2994|* psi Phe                          |LP*|01 53 38.7410337 -46 18 09.604795      | 7.71 | 6.00 | 4.41 | 2.68 | 1.17 |M4III                 |  97|   0
2995|L 320-124                          |PM*|10 14 51.7783473599 -47 09 24.189733387|     ~|     ~|     ~|13.067|     ~|M4                    |  68|   0
2996|V* Z Vel                           |Mi*|09 52 54.2860731437 -54 10 47.933776049|     ~|12.58 | 7.80 |     ~|     ~|M9e                   |  32|   0
2997|HD 304636                          |PM*|09 21 37.6013907608 -60 16 55.030802577|12.145|10.955| 9.465| 8.517| 7.511|M0.0                  |  57|   0
2998|SV* HV 996                         |s*r|05 32 35.6441019617 -67 55 09.017448111|     ~|     ~|13.48 |     ~|     ~|M2Ia                  |  32|   0
2999|HD 269696                          |HS*|05 31 40.3598545037 -69 53 02.158611829| 9.74 |10.92 |11.15 |     ~|     ~|sdB+dM                | 171|   0
3000|[W60] A68                          |PM*|05 38 16.1379823801 -69 23 32.203967771|     ~|13.44 |12.08 |11.18 |     ~|M0.5                  |  30|   0
3001|SV* HV 2793                        |cC*|05 41 48.5456982985 -68 41 16.103190398|     ~|14.66 |14.089|     ~|13.047|M                     |  33|   0
3002|V* YY Dor                          |No*|05 56 42.43 -68 54 34.5                |     ~|19.0  |     ~|18.9  |     ~|M                     |  33|   0
3003|SV* HV 916                         |s*r|05 14 49.7384906460 -67 27 19.781747178|16.672|14.468|12.296|     ~| 9.675|M3I                   |  38|   0
3004|SV* HV 5870                        |s*r|05 29 03.4749785971 -69 06 46.210998316|17.762|15.844|13.762|12.25 |10.781|M3.5Iae               |  32|   0
3005|SV* HV 2561                        |s*r|05 28 28.8552107573 -68 07 08.064605946|16.633|14.89 |12.74 |     ~|     ~|M2Ia                  |  30|   1
3006|HD 269227                          |WR*|05 13 54.2798782060 -69 31 46.659015245|11.429|11.98 |11.918|12.13 |10.557|WN9/10+M2Ia           | 151|   0
3007|[W60] A27                          |s*r|05 29 42.2038351784 -68 57 17.351444426|     ~|14.04 |12.15 |10.99 |     ~|M2.5Ia-Iab            |  30|   0
3008|[W60] A2                           |s*r|05 26 34.8187260390 -68 51 39.973845777|12.903|13.374|12.296|11.15 |     ~|M4Ia-Iab              |  30|   0
3009|SV* HV 888                         |s*r|05 04 14.1161508439 -67 16 14.402232008|15.876|13.949|11.861| 9.60 |     ~|M4Ia                  |  47|   0
3010|WOH G 64                           |Mi*|04 55 10.5252313969 -68 20 29.998470169|     ~|     ~|18.46 |15.69 |12.795|M7.5                  |  82|   0
3011|IRAS 04509-6922                    |Mi*|04 50 40.4663101419 -69 17 31.842083040|     ~|     ~|20.724|17.321|14.187|M                     |  30|   0
3012|IRAS 04516-6902                    |Mi*|04 51 29.0014479286 -68 57 49.975031286|     ~|     ~|     ~|15.772|14.654|M9                    |  30|   0
3013|IRAS 04498-6842                    |Mi*|04 49 41.4650336568 -68 37 51.232315614|     ~|     ~|19.98 |17.77 |13.250|M                     |  30|   0
3014|CD-58 538                          |** |02 39 01.1714004 -58 11 13.719947      |12.111|10.995| 9.552| 8.628| 7.679|M0Ve                  |  40|   0
3015|* 120 Phe                          |*  |01 46 05.9657101576 -50 48 58.519031311| 9.04 | 7.08 | 5.49 | 4.00 | 2.73 |M2III                 |  37|   0
3016|V* BD Phe                          |dS*|01 50 54.4351104603 -50 12 22.093636860|     ~| 6.080| 5.929|     ~|     ~|F0VkA2mA2_lB          |  96|   0
3017|V* AW Phe                          |LP?|01 29 30.5388726117 -46 45 23.120263884|     ~| 7.89 | 6.28 |     ~|     ~|M2III                 |  36|   0
3018|CD-47 502                          |PM*|01 39 41.7692287386 -46 30 35.826968116|     ~|11.01 | 9.89 |     ~|     ~|M0                    |  34|   0
3019|2MASS J01415823-4633574            |BD*|01 41 58.2345784233 -46 33 57.347491326|     ~|     ~|     ~|     ~|     ~|L0gamma               |  62|   0
3020|* gam Phe                          |SB*|01 28 21.9272669 -43 19 05.650173      |     ~| 4.98 | 3.41 |     ~|     ~|M0III                 | 133|   0
3021|V* W Vel                           |Mi*|10 15 14.8287572724 -54 28 41.998368862|     ~|12.23 | 8.30 |     ~|     ~|M9                    |  67|   0
3022|TWA 22                             |LXB|10 17 26.8983656044 -53 54 26.459439803|     ~|15.69 |13.96 |13.72 |     ~|M5                    |  70|   0
3023|WRAY 16-62                         |Sy*|09 54 43.2843108572 -57 18 52.397916164|     ~|13.77 |12.92 |13.01 |10.93 |M5-7.5                |  94|   0
3024|V* R Car                           |Mi*|09 32 14.5996404553 -62 47 20.045197073| 8.51 | 7.40 | 6.10 | 5.44 | 2.90 |M5-8                  | 163|   1
3025|* alf Vol                          |** |09 02 26.7959209 -66 23 45.872743      |     ~| 4.144| 3.990|     ~|     ~|kA3hA5mA5V            |  99|   1
3026|HD 32763                           |s*r|04 59 22.85 -70 11 45.9                |     ~|11.734|11.546|     ~|     ~|M1:I:e+B1             |  44|   0
3027|HD 269075                          |cC*|05 06 47.9723051964 -70 02 13.297259550|     ~|13.30 |12.48 |12.77 |11.842|M                     |  63|   0
3028|* bet Hor                          |*  |02 58 47.7988212538 -64 04 16.647482898|     ~| 5.094| 4.969|     ~|     ~|A3/5III(m)            |  35|   0
3029|L 127-97                           |PM*|02 52 22.1697005631 -63 40 47.320543350|14.165|12.967|11.382|10.318| 8.992|M2.5                  |  47|   0
3030|BPS CS 22958-0042                  |Pe*|02 01 07.4296353198 -57 16 58.851945318|     ~|14.037|14.52 |14.222|13.902|CEMP-no               |  35|   0
3031|CD-49 451                          |PM*|01 37 20.8203351149 -49 11 44.376600790|13.074|11.834|10.391| 9.481| 8.555|M0V                   |  39|   0
3032|V* V348 Vel                        |s*r|10 26 15.6392685273 -53 53 29.268491516|     ~| 8.98 | 6.93 |     ~|     ~|M3-Iab                |  37|   0
3033|CD-57 3107                         |Em*|10 15 21.9719703212 -57 51 42.737312199|12.27 |11.72 |10.15 | 9.78 |     ~|M3                    |  36|   0
3034|CD-57 3057                         |Sy*|10 11 02.9422954740 -57 48 13.944256831|     ~|11.26 | 9.99 |     ~|     ~|M4IIIe                |  59|   0
3035|V* V368 Car                        |LP?|10 11 35.4590934818 -58 49 39.955418213|     ~| 8.06 | 6.40 |     ~|     ~|M3III                 |  30|   0
3036|V* S Car                           |Mi*|10 09 21.8940682260 -61 32 56.430903888| 9.38 | 7.63 | 5.71 | 5.20 | 3.64 |K5-M6e                | 127|   0
3037|V* S Vol                           |Mi*|07 29 45.5715328465 -73 22 43.966694915|     ~|14.55 |12.97 |     ~|     ~|M4e                   |  35|   0
3038|L 32-9                             |PM*|06 33 43.2774443827 -75 37 47.957345432|     ~|11.87 |10.484|10.170|     ~|M2V                   |  34|   0
3039|V* WX Men                          |LP?|05 34 44.7828223701 -73 44 28.599599733|     ~| 7.54 | 5.85 |     ~|     ~|M2/3III               |  31|   0
3040|V* V349 Car                        |s*r|10 29 35.3734614399 -57 57 58.976903752|     ~| 9.96 | 7.89 |     ~|     ~|M3Iab                 |  32|   0
3041|V* V361 Car                        |s*r|10 35 43.7596343219 -58 14 42.035832967|     ~| 8.926| 7.19 |     ~|     ~|M1.5Iab-Ib            |  51|   0
3042|V* CK Car                          |s*r|10 24 25.3599153588 -60 11 29.037410779|     ~| 9.63 | 7.59 |     ~|     ~|M3.5Iab               |  51|   0
3043|V* EV Car                          |s*r|10 20 21.6003517303 -60 27 15.752647581|     ~|10.00 | 9.20 |     ~|     ~|M4.5Ia                |  63|   0
3044|L 100-115                          |PM*|09 42 46.3420429010 -68 53 06.003864262|     ~|14.51 |12.78 |11.35 | 9.61 |M4.0V                 |  46|   0
3045|V* Z Cha                           |DN*|08 07 27.7421647579 -76 32 00.679589237|     ~|12.00 |     ~|     ~|     ~|M5.5                  | 589|   1
3046|L 31-84                            |PM*|05 16 59.7169913801 -78 17 20.299294908|     ~|13.39 |11.91 |11.551| 9.42 |M3V                   |  31|   0
3047|* gam Hyi                          |PM*|03 47 14.3406211 -74 14 20.268608      | 6.87 | 4.88 | 3.26 | 1.92 | 0.82 |M1III                 |  80|   0
3048|HD 17072                           |PM*|02 40 40.0954984522 -69 13 58.815017095|     ~| 7.22 | 6.59 |     ~|     ~|F9IIIm-2              |  43|   0
3049|L 89-27                            |PM*|02 07 23.2521846939 -66 34 11.497997483|     ~|13.5  |11.55 |     ~|     ~|M2                    |  33|   0
3050|BPS CS 22953-0037                  |Pe*|01 25 06.6511385034 -59 16 00.741420364|     ~|14.01 |13.64 |     ~|13.13 |CEMP-no               |  40|   0
3051|CD-54 269                          |PM*|01 14 34.1967262619 -53 56 31.610630498|13.791|12.591|11.077|10.094| 8.985|M3V                   |  34|   0
3052|HE 0107-5240                       |Pe*|01 09 29.1554552993 -52 24 34.203535506|     ~|15.89 |15.07 |15.10 |14.283|CEMP-no               | 228|   0
3053|HD 93662                           |pA*|10 47 38.3963525198 -57 28 02.673468362|     ~| 7.954| 6.248|     ~|     ~|K5/M0(III)            |  31|   0
3054|V* IX Car                          |s*r|10 50 26.2988224629 -59 58 56.569610438|     ~| 9.68 | 9.00 |     ~|     ~|M2Iab                 |  46|   0
3055|V* BO Car                          |LP*|10 45 50.627 -59 29 19.50              |10.98 | 9.12 | 7.18 |     ~|     ~|M4Ib                  |  56|   0
3056|V* RT Car                          |s*r|10 44 47.1477509492 -59 24 48.123186340|     ~|10.62 | 8.551|     ~|     ~|M2+Iab                |  66|   0
3057|V* CL Car                          |s*r|10 53 59.8805034264 -61 05 31.306416347|     ~|10.30 | 8.600|     ~|     ~|M5Iab                 |  39|   0
3058|V* BZ Car                          |LP*|10 54 06.2514210504 -62 02 32.815833011|11.90 | 9.89 | 7.71 |     ~|     ~|M3+Ib                 |  45|   0
3059|L 143-23                           |PM*|10 44 21.2334129761 -61 12 35.263329881|     ~|15.74 |13.920|12.33 |10.31 |M5.5V                 |  53|   0
3060|HD 91056                           |*  |10 28 52.5770278937 -64 10 20.211807449|     ~| 7.11 | 5.27 |     ~| 8.65 |M0III                 |  34|   0
3061|* M Car                            |*  |10 13 30.6318329609 -66 22 22.116594310|     ~| 5.366| 5.141|     ~|     ~|A4mA6-F0              |  42|   0
3062|V* V496 Car                        |LP*|10 10 10.5921227965 -71 04 11.470558665|     ~|10.22 | 8.99 |     ~|     ~|M5III                 |  34|   0
3063|V* EO Cha                          |Or*|08 44 31.8938598641 -78 46 31.142380687|     ~|     ~|12.531|     ~|10.646|M0                    |  61|   0
3064|V* ES Cha                          |Or*|08 41 30.3121430855 -78 53 06.481203533|     ~|     ~|17.07 |     ~|     ~|M4                    |  36|   0
3065|V* EL Cha                          |Or*|08 42 38.7835569558 -78 54 42.736779291|     ~|     ~|14.1  |     ~|     ~|M2                    |  45|   0
3066|DENIS J084409.1-783345             |*  |08 44 09.1580074496 -78 33 45.773899994|     ~|     ~|18.4  |     ~|     ~|M5.5                  |  30|   0
3067|HD 10607                           |PM*|01 41 14.6904205826 -67 40 37.187012023|     ~| 8.87 | 8.32 |     ~|     ~|G0Vm-2.25             |  79|   0
3068|V* BL Hyi                          |NL*|01 41 00.3995669445 -67 53 27.469105974|     ~|14.9  |     ~|     ~|     ~|Am                    | 201|   0
3069|V* BS Tuc                          |dS*|01 08 03.9684578139 -61 52 17.819432212|     ~| 7.71 | 7.45 |     ~|     ~|hF0mA1_lB             |  89|   0
3070|Smethells 173                      |PM*|00 45 28.1544088094 -51 37 33.937764783|     ~|13.17 |12.30 |10.9  | 9.73 |M3V                   |  47|   0
3071|* C01 Cen                          |LP*|11 35 13.2813376689 -47 22 21.288761350|     ~| 7.299| 5.675|     ~|     ~|M3/4III               |  46|   0
3072|HD 304043                          |PM*|11 16 00.2045864202 -57 32 51.571393210|13.666|12.848|11.516|10.497| 9.132|M3.5                  |  51|   0
3073|V* V602 Car                        |s*r|11 13 29.9728028355 -60 05 28.851699080|     ~|10.68 | 8.815|     ~|     ~|M3Ia-Iab              |  39|   0
3074|HD 95687                           |s*r|11 01 35.7592067144 -61 02 55.817925323|     ~| 9.130| 7.90 |     ~|     ~|M2Iab                 |  33|   0
3075|V* V528 Car                        |LP*|11 03 06.1530861433 -60 54 38.623203426|     ~| 8.55 | 6.57 |     ~|     ~|M2Ib:                 |  36|   0
3076|V* RZ Car                          |Mi*|10 35 37.2526028035 -70 43 00.186860637|     ~|     ~| 8.80 |     ~|     ~|M7-8II?e              |  33|   0
3077|WG 17                              |WD*|10 44 10.2362521693 -69 18 18.076734998|     ~|13.05 |13.09 |     ~|     ~|DA2+dM                |  53|   0
3078|L 35-12                            |PM*|09 17 05.3224438562 -77 49 23.382092057|     ~|14.74 |13.10 |11.8  |10.1  |M4.5V                 |  41|   0
3079|V* EQ Cha                          |Or*|08 47 56.7571398344 -78 54 53.189801719|     ~|     ~|13.275|     ~|10.795|M3                    |  67|   0
3080|V* EH Cha                          |Or*|08 41 37.0153250643 -79 03 30.542210498|     ~|     ~|14.4  |     ~|     ~|M3                    |  46|   0
3081|V* EK Cha                          |Or*|08 42 27.0970495336 -78 57 47.916541725|     ~|     ~|15.2  |     ~|     ~|M5                    |  64|   0
3082|V* EN Cha                          |Or*|08 44 16.2413047260 -78 59 07.640832807|     ~|     ~|15.0  |     ~|     ~|M4                    |  54|   0
3083|V* ET Cha                          |Or*|08 43 18.5820197784 -79 05 18.203801931|     ~|     ~|13.97 |     ~|     ~|M2                    |  68|   0
3084|V* U Men                           |Mi*|04 09 35.8919 -81 51 17.574            |     ~|10.55 | 8.00 |     ~|     ~|M3                    |  51|   1
3085|CD-68 47                           |** |01 10 22.8808981176 -67 26 41.948658967|12.515|11.368| 9.824| 8.73 | 7.353|M2.5V                 |  77|   0
3086|V* BQ Tuc                          |LP?|00 53 37.8776504538 -62 52 16.900631219|     ~| 7.221| 5.748|     ~|     ~|M4III                 |  37|   0
3087|DENIS J004135.3-562112             |LM*|00 41 35.3887657818 -56 21 12.785140974|     ~|     ~|     ~|17.97 |14.69 |M7.5e                 |  32|   0
3088|V* T Phe                           |Mi*|00 30 26.2344686608 -46 24 33.373015476|     ~|12.46 |11.43 |12.43 |     ~|M7e                   |  63|   0
3089|CD-51 5974                         |PM*|11 43 19.8196617612 -51 50 25.928677773|     ~|11.89 |10.360|10.005|     ~|M1                    |  43|   0
3090|HD 101412                          |Be*|11 39 44.4562795603 -60 10 27.717502041|     ~| 9.465| 9.288|     ~|     ~|A3VaekA0mA0_lB        | 117|   0
3091|V* V910 Cen                        |LP*|11 35 44.9537674232 -61 34 41.019250573|11.60 | 9.106| 6.859|     ~|     ~|M0Ib                  |  40|   0
3092|HD 306799                          |*  |11 36 34.8396415757 -61 36 35.191032224|     ~| 9.312| 7.520|     ~|     ~|M0Ib                  |  38|   0
3093|HD 98817                           |*  |11 21 38.9672659667 -60 59 28.223851860|12.41 |10.44 | 8.30 |     ~|     ~|M1Iab-Ib              |  36|   0
3094|HD 101189                          |PM*|11 38 07.2766270609 -61 49 35.555230094| 4.96 | 5.13 | 5.14 |     ~|     ~|ApHgMn                |  72|   0
